year,city,country,avg_temp,rosario_moving_avg
1855,Rosario,Argentina,14.22,14.2200000000000000
1856,Rosario,Argentina,16.80,15.5100000000000000
1857,Rosario,Argentina,17.33,16.1166666666666667
1858,Rosario,Argentina,16.64,16.2475000000000000
1859,Rosario,Argentina,16.85,16.3680000000000000
1860,Rosario,Argentina,16.46,16.8160000000000000
1861,Rosario,Argentina,16.63,16.7820000000000000
1862,Rosario,Argentina,16.65,16.6460000000000000
1863,Rosario,Argentina,16.16,16.5500000000000000
1864,Rosario,Argentina,16.79,16.5380000000000000
1865,Rosario,Argentina,17.39,16.7240000000000000
1866,Rosario,Argentina,17.07,16.8120000000000000
1867,Rosario,Argentina,16.80,16.8420000000000000
1868,Rosario,Argentina,17.22,17.0540000000000000
1869,Rosario,Argentina,16.73,17.0420000000000000
1870,Rosario,Argentina,16.83,16.9300000000000000
1871,Rosario,Argentina,16.32,16.7800000000000000
1872,Rosario,Argentina,16.66,16.7520000000000000
1873,Rosario,Argentina,16.83,16.6740000000000000
1874,Rosario,Argentina,16.01,16.5300000000000000
1875,Rosario,Argentina,16.54,16.4720000000000000
1876,Rosario,Argentina,16.68,16.5440000000000000
1877,Rosario,Argentina,17.61,16.7340000000000000
1878,Rosario,Argentina,16.28,16.6240000000000000
1879,Rosario,Argentina,16.87,16.7960000000000000
1880,Rosario,Argentina,16.76,16.8400000000000000
1881,Rosario,Argentina,16.72,16.8480000000000000
1882,Rosario,Argentina,16.47,16.6200000000000000
1883,Rosario,Argentina,16.77,16.7180000000000000
1884,Rosario,Argentina,16.92,16.7280000000000000
1885,Rosario,Argentina,16.16,16.6080000000000000
1886,Rosario,Argentina,16.44,16.5520000000000000
1887,Rosario,Argentina,16.65,16.5880000000000000
1888,Rosario,Argentina,17.09,16.6520000000000000
1889,Rosario,Argentina,16.22,16.5120000000000000
1890,Rosario,Argentina,16.46,16.5720000000000000
1891,Rosario,Argentina,16.78,16.6400000000000000
1892,Rosario,Argentina,16.51,16.6120000000000000
1893,Rosario,Argentina,16.29,16.4520000000000000
1894,Rosario,Argentina,16.58,16.5240000000000000
1895,Rosario,Argentina,17.27,16.6860000000000000
1896,Rosario,Argentina,17.71,16.8720000000000000
1897,Rosario,Argentina,17.22,17.0140000000000000
1898,Rosario,Argentina,16.29,17.0140000000000000
1899,Rosario,Argentina,17.33,17.1640000000000000
1900,Rosario,Argentina,17.74,17.2580000000000000
1901,Rosario,Argentina,17.34,17.1840000000000000
1902,Rosario,Argentina,17.42,17.2240000000000000
1903,Rosario,Argentina,17.14,17.3940000000000000
1904,Rosario,Argentina,16.82,17.2920000000000000
1905,Rosario,Argentina,16.57,17.0580000000000000
1906,Rosario,Argentina,17.47,17.0840000000000000
1907,Rosario,Argentina,16.54,16.9080000000000000
1908,Rosario,Argentina,16.74,16.8280000000000000
1909,Rosario,Argentina,16.53,16.7700000000000000
1910,Rosario,Argentina,16.62,16.7800000000000000
1911,Rosario,Argentina,16.01,16.4880000000000000
1912,Rosario,Argentina,16.88,16.5560000000000000
1913,Rosario,Argentina,17.94,16.7960000000000000
1914,Rosario,Argentina,17.25,16.9400000000000000
1915,Rosario,Argentina,17.06,17.0280000000000000
1916,Rosario,Argentina,17.31,17.2880000000000000
1917,Rosario,Argentina,17.24,17.3600000000000000
1918,Rosario,Argentina,17.02,17.1760000000000000
1919,Rosario,Argentina,17.43,17.2120000000000000
1920,Rosario,Argentina,17.31,17.2620000000000000
1921,Rosario,Argentina,16.73,17.1460000000000000
1922,Rosario,Argentina,16.73,17.0440000000000000
1923,Rosario,Argentina,16.69,16.9780000000000000
1924,Rosario,Argentina,16.31,16.7540000000000000
1925,Rosario,Argentina,17.23,16.7380000000000000
1926,Rosario,Argentina,17.67,16.9260000000000000
1927,Rosario,Argentina,17.57,17.0940000000000000
1928,Rosario,Argentina,16.93,17.1420000000000000
1929,Rosario,Argentina,17.43,17.3660000000000000
1930,Rosario,Argentina,17.45,17.4100000000000000
1931,Rosario,Argentina,16.47,17.1700000000000000
1932,Rosario,Argentina,17.67,17.1900000000000000
1933,Rosario,Argentina,17.36,17.2760000000000000
1934,Rosario,Argentina,17.04,17.1980000000000000
1935,Rosario,Argentina,17.50,17.2080000000000000
1936,Rosario,Argentina,17.20,17.3540000000000000
1937,Rosario,Argentina,17.11,17.2420000000000000
1938,Rosario,Argentina,17.09,17.1880000000000000
1939,Rosario,Argentina,17.33,17.2460000000000000
1940,Rosario,Argentina,17.24,17.1940000000000000
1941,Rosario,Argentina,16.87,17.1280000000000000
1942,Rosario,Argentina,16.97,17.1000000000000000
1943,Rosario,Argentina,17.76,17.2340000000000000
1944,Rosario,Argentina,18.11,17.3900000000000000
1945,Rosario,Argentina,18.11,17.5640000000000000
1946,Rosario,Argentina,17.11,17.6120000000000000
1947,Rosario,Argentina,17.11,17.6400000000000000
1948,Rosario,Argentina,17.15,17.5180000000000000
1949,Rosario,Argentina,17.26,17.3480000000000000
1950,Rosario,Argentina,17.37,17.2000000000000000
1951,Rosario,Argentina,17.55,17.2880000000000000
1952,Rosario,Argentina,17.38,17.3420000000000000
1953,Rosario,Argentina,17.47,17.4060000000000000
1954,Rosario,Argentina,16.95,17.3440000000000000
1955,Rosario,Argentina,16.58,17.1860000000000000
1956,Rosario,Argentina,16.21,16.9180000000000000
1957,Rosario,Argentina,17.24,16.8900000000000000
1958,Rosario,Argentina,17.50,16.8960000000000000
1959,Rosario,Argentina,16.65,16.8360000000000000
1960,Rosario,Argentina,17.77,17.0740000000000000
1961,Rosario,Argentina,17.55,17.3420000000000000
1962,Rosario,Argentina,17.05,17.3040000000000000
1963,Rosario,Argentina,17.48,17.3000000000000000
1964,Rosario,Argentina,16.81,17.3320000000000000
1965,Rosario,Argentina,17.62,17.3020000000000000
1966,Rosario,Argentina,17.19,17.2300000000000000
1967,Rosario,Argentina,17.58,17.3360000000000000
1968,Rosario,Argentina,17.60,17.3600000000000000
1969,Rosario,Argentina,17.86,17.5700000000000000
1970,Rosario,Argentina,17.75,17.5960000000000000
1971,Rosario,Argentina,17.23,17.6040000000000000
1972,Rosario,Argentina,17.55,17.5980000000000000
1973,Rosario,Argentina,17.07,17.4920000000000000
1974,Rosario,Argentina,17.40,17.4000000000000000
1975,Rosario,Argentina,17.67,17.3840000000000000
1976,Rosario,Argentina,17.02,17.3420000000000000
1977,Rosario,Argentina,17.89,17.4100000000000000
1978,Rosario,Argentina,17.43,17.4820000000000000
1979,Rosario,Argentina,17.43,17.4880000000000000
1980,Rosario,Argentina,18.09,17.5720000000000000
1981,Rosario,Argentina,17.86,17.7400000000000000
1982,Rosario,Argentina,18.03,17.7680000000000000
1983,Rosario,Argentina,17.47,17.7760000000000000
1984,Rosario,Argentina,17.09,17.7080000000000000
1985,Rosario,Argentina,18.02,17.6940000000000000
1986,Rosario,Argentina,18.09,17.7400000000000000
1987,Rosario,Argentina,17.68,17.6700000000000000
1988,Rosario,Argentina,17.20,17.6160000000000000
1989,Rosario,Argentina,18.19,17.8360000000000000
1990,Rosario,Argentina,17.67,17.7660000000000000
1991,Rosario,Argentina,17.86,17.7200000000000000
1992,Rosario,Argentina,17.51,17.6860000000000000
1993,Rosario,Argentina,17.53,17.7520000000000000
1994,Rosario,Argentina,18.31,17.7760000000000000
1995,Rosario,Argentina,17.62,17.7660000000000000
1996,Rosario,Argentina,17.97,17.7880000000000000
1997,Rosario,Argentina,18.54,17.9940000000000000
1998,Rosario,Argentina,17.52,17.9920000000000000
1999,Rosario,Argentina,17.71,17.8720000000000000
2000,Rosario,Argentina,17.66,17.8800000000000000
2001,Rosario,Argentina,18.42,17.9700000000000000
2002,Rosario,Argentina,18.07,17.8760000000000000
2003,Rosario,Argentina,17.87,17.9460000000000000
2004,Rosario,Argentina,18.11,18.0260000000000000
2005,Rosario,Argentina,17.83,18.0600000000000000
2006,Rosario,Argentina,18.35,18.0460000000000000
2007,Rosario,Argentina,17.14,17.8600000000000000
2008,Rosario,Argentina,18.39,17.9640000000000000
2009,Rosario,Argentina,18.09,17.9600000000000000
2010,Rosario,Argentina,17.84,17.9620000000000000
2011,Rosario,Argentina,17.93,17.8780000000000000
2012,Rosario,Argentina,18.43,18.1360000000000000
2013,Rosario,Argentina,16.88,17.8340000000000000
